id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
556574,Hamilton,"History,Drama",en,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",11.644,2020-07-03,8.3,982
975,Paths of Glory,"Drama,War",en,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,11.774,1957-10-25,8.3,2226
618344,Justice League Dark: Apokolips War,"Animation,Action,Adventure,Fantasy,Science Fiction",en,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",41.778,2020-05-05,8.3,1189
105,Back to the Future,"Adventure,Comedy,Science Fiction,Family",en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",54.325,1985-07-03,8.3,16765
447362,Life in a Year,"Drama,Romance",en,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",114.889,2020-11-27,8.3,1105
28,Apocalypse Now,"Drama,War",en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",27.775,1979-08-15,8.3,6618
299534,Avengers: Endgame,"Adventure,Science Fiction,Action",en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",284.068,2019-04-24,8.3,21448
537061,Steven Universe: The Movie,"Animation,Family,Fantasy,TV Movie,Science Fiction,Adventure,Music",en,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",58.206,2019-09-02,8.3,677
522924,The Art of Racing in the Rain,"Comedy,Drama,Romance",en,"A family dog - with a near-human soul and a philosopher's mind - evaluates his life through the lessons learned by his human owner, a race-car driver.",19.229,2019-08-08,8.3,1082
791373,Zack Snyder's Justice League,"Action,Adventure,Fantasy,Science Fiction",en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",325.801,2021-03-18,8.3,7943
